year,num_movies
1903,0
1904,0
1905,0
1906,0
1907,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1919,0
1921,0
1922,0
1923,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1937,0
1938,0
1939,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1902,1
1908,1
1918,1
1920,1
1924,1
1936,1
1940,1
1950,3
1951,3
1952,1
1953,7
1954,3
1955,1
1956,6
1957,7
1958,8
1959,7
1960,3
1961,2
1962,6
1963,1
1964,8
1965,8
1966,9
1967,5
1968,7
1969,1
1970,2
1971,2
1972,3
1973,1
1974,4
1975,5
1976,3
1977,3
1978,10
1979,4
1980,8
1981,4
1982,9
1983,10
1984,11
1985,9
1986,10
1987,10
1988,12
1989,8
1990,7
1991,6
1992,4
1993,8
1994,6
1995,7
1996,9
1997,9
1998,10
1999,11
2000,14
2001,6
2002,9
2003,9
2004,7
2005,13
2006,6
2007,15
2008,16
2009,19
2010,7
2011,18
2012,12
2013,17
2014,11
2015,8
2016,13
2017,11
2018,3
